frbroo:F38,rdfs:label,ficto:narrativeRole,ficto:isInspiredBy,frbroo:R57,ficto:hasNarrativeFunction,
sherlock_doyle1,Sherlock Holmes,subject,dupin_1,joseph_bell,,
watson_doyle1,Dr Watson,helper,,,narrator_1.1,
watson_doyle1,,,,,narrator_1.2,
stamford_doyle1,Stamford,helper,,,,
gregson_doyle_1,Tobias Gregson,destinator,,metropolitan_police,,
lestrade_doyle1,Lestrade,opposer,,metropolitan_police,,
hope_doyle1,Jefferson Hope,opposer,,,,
drebber_doyle1,Enoch J. Drebber,object,,,,
stangerson_doyle1,Joseph Stangerson,object,,,,
sherlock_doyle2,Sherlock Holmes,subject,,joseph_bell,,
watson_doyle2,Dr Watson,helper,,,narrator_2.1,
watson_doyle2,,,,,narrator_2.2,
mortimer_doyle2,James Mortimer,helper,,,,
sherlock_doyle3,Sherlock Holmes,subject,,joseph_bell,,
watson_doyle3,Dr Watson,helper,,,narrator_3.1,
watson_doyle3,,,,,narrator_3.2,
moriarty_doyle3,Professor Moriarty,opposer,,napoleon,,
sherlock_lipo,Sherlock Holmes,subject,dupin_1,joseph_bell,,
sherlock_lipo,,,little_red_riding_hood,,,
watson_lipo,Dr Watson,helper,,,narrator_4.1,
,,,,,narrator_4.2,
moriarty_lipo,Professor Moriarty,opposer,,,,
lestrade_lipo,Lestrade,helper,,,,
sherlock_fl,Sherlock Holmes,subject,,joseph_bell,,
watson_fl,Dr Watson,helper,,,narrator_5.1,
dupin_fl,Auguste Dupin,subject,dupin_1,,,
poirot_fl,Hercule Poirot,subject,poirot_1,,,
,,,,,,
