ficto:Praxis,rdfs:label,skos:related,ficto:hasTextualTransmission,ficto:linkedTo
aspiration_1,Fame,fame,http://vocab.getty.edu/page/aat/300015644,
expertise_1,Insightful,expertise,http://vocab.getty.edu/page/aat/300015644,detective_fiction
expertise_2,Observant,expertise,http://vocab.getty.edu/page/aat/300015644,detective_fiction
expertise_3,Deductive,expertise,http://vocab.getty.edu/page/aat/300015644,detective_fiction
expertise_4,Practical mind,expertise,http://vocab.getty.edu/page/aat/300015644,
expertise_5,Quickness of intellect,expertise,http://vocab.getty.edu/page/aat/300015644,
expertise_6,Professional prudence,expertise,http://vocab.getty.edu/page/aat/300015644,
inter_1,Science fanatic,interest,http://vocab.getty.edu/page/aat/300015644,
inter_2,Past and Present,interest,http://vocab.getty.edu/page/aat/300015644,
knowledge_1,Anatomy,knowledge,http://vocab.getty.edu/page/aat/300015644,
knowledge_2,Living encyclopedia of crime,knowledge,http://vocab.getty.edu/page/aat/300015644,detective_fiction
knowledge_3,Vast and detailed culture,knowledge,http://vocab.getty.edu/page/aat/300015644,
knowledge_4,Knowledge and Ignorance,knowledge,http://vocab.getty.edu/page/aat/300015644,
knowledge_5,Literature,knowledge,http://vocab.getty.edu/page/aat/300015644,
knowledge_6,Philosophy,knowledge,http://vocab.getty.edu/page/aat/300015644,
knowledge_7,Politics,knowledge,http://vocab.getty.edu/page/aat/300015644,
knowledge_8,Heliocentrism,knowledge,http://vocab.getty.edu/page/aat/300015644,
knowledge_9,Astronomy,knowledge,http://vocab.getty.edu/page/aat/300015644,
knowledge_10,Botany,knowledge,http://vocab.getty.edu/page/aat/300015644,
knowledge_11,Geology,knowledge,http://vocab.getty.edu/page/aat/300015644,
knowledge_12,Chemistry,knowledge,http://vocab.getty.edu/page/aat/300015644,
knowledge_13,British law,knowledge,http://vocab.getty.edu/page/aat/300015644,
knowledge_14,Art,knowledge,http://vocab.getty.edu/page/aat/300015644,
knowledge_15,London's criminal environment,knowledge,http://vocab.getty.edu/page/aat/300015644,detective_fiction
need_1,Loneliness,need,http://vocab.getty.edu/page/aat/300015644,
need_2,Peace,need,http://vocab.getty.edu/page/aat/300015644,
need_3,Calm,need,http://vocab.getty.edu/page/aat/300015644,
need_4,Disappearance of Moriarty,need,http://vocab.getty.edu/page/aat/300404309,detective_fiction
skill_1,Swordsman,skill,http://vocab.getty.edu/page/aat/300015644,
skill_2,Singular qualities,skill,http://vocab.getty.edu/page/aat/300015644,
skill_3,Clear calligraphy,skill,http://vocab.getty.edu/page/aat/300015644,
