dul:Narrative,crm:P46
narrative_1,narr_seg_expr1.1
narrative_1,narr_seg_expr1.2
narrative_1,narr_seg_expr1.3
narrative_1,narr_seg_expr1.4
narrative_1,narr_seg_expr1.5
narrative_1,narr_seg_expr1.6
narrative_1,narr_seg_expr1.7
narrative_1,narr_seg_expr1.8
narrative_1,narr_seg_expr1.9
narrative_1,narr_seg_expr1.10
narrative_1,narr_seg_expr1.11
narrative_1,narr_seg_expr1.12
narrative_1,narr_seg_expr1.13
narrative_1,narr_seg_expr1.14
narrative_1,narr_seg_expr1.15
narrative_1,narr_seg_expr1.16
narrative_1,narr_seg_expr1.17
narrative_1,narr_seg_expr1.18
narrative_1,narr_seg_expr1.19
narrative_1,narr_seg_expr1.20
narrative_1,narr_seg_expr1.21
narrative_1,narr_seg_expr1.22
narrative_1,narr_seg_expr1.23
narrative_1,narr_seg_expr1.24
narrative_1,narr_seg_expr1.25
narrative_1,narr_seg_expr1.26
narrative_1,narr_seg_expr1.27
narrative_1,narr_seg_expr1.28
narrative_1,narr_seg_expr1.29
narrative_1,narr_seg_expr1.30
narrative_1,narr_seg_expr1.31
narrative_1,narr_seg_expr1.32
narrative_1,narr_seg_expr1.33
narrative_1,narr_seg_expr1.34
narrative_1,narr_seg_expr1.35
narrative_1,narr_seg_expr1.36
narrative_1,narr_seg_expr1.37
narrative_1,narr_seg_expr1.38
narrative_1,narr_seg_expr1.39
narrative_1,narr_seg_expr1.40
narrative_1,narr_seg_expr1.41
narrative_1,narr_seg_expr1.42
narrative_1,narr_seg_expr1.43
narrative_1,narr_seg_expr1.44
narrative_1,narr_seg_expr1.45
narrative_1,narr_seg_expr1.46
narrative_1,narr_seg_expr1.47
narrative_1,narr_seg_expr1.48
narrative_1,narr_seg_expr1.49
narrative_1,narr_seg_expr1.50
narrative_1,narr_seg_expr1.51
narrative_1,narr_seg_expr1.52
narrative_1,narr_seg_expr1.53
narrative_1,narr_seg_expr1.54
narrative_1,narr_seg_expr1.55
narrative_1,narr_seg_expr1.56
narrative_1,narr_seg_expr1.57
narrative_1,narr_seg_expr1.58
narrative_1,narr_seg_expr1.59
narrative_1,narr_seg_expr1.60
narrative_1,narr_seg_expr1.61
narrative_1,narr_seg_expr1.62
narrative_1,narr_seg_expr1.63
narrative_1,narr_seg_expr1.64
narrative_1,narr_seg_expr1.65
narrative_1,narr_seg_expr1.66
narrative_1,narr_seg_expr1.67
narrative_1,narr_seg_expr1.68
narrative_1,narr_seg_expr1.69
narrative_1,narr_seg_expr1.70
narrative_2,narr_seg_expr_2.1
narrative_2,narr_seg_expr_2.2
narrative_2,narr_seg_expr_2.3
narrative_2,narr_seg_expr_2.4
narrative_2,narr_seg_expr_2.5
narrative_2,narr_seg_expr_2.6
narrative_2,narr_seg_expr_2.7
narrative_2,narr_seg_expr_2.8
narrative_2,narr_seg_expr_2.9
narrative_2,narr_seg_expr_2.10
narrative_2,narr_seg_expr_2.11
narrative_2,narr_seg_expr_2.12
narrative_2,narr_seg_expr_2.13
narrative_2,narr_seg_expr_2.14
narrative_2,narr_seg_expr_2.15
narrative_2,narr_seg_expr_2.16
narrative_2,narr_seg_expr_2.17
narrative_2,narr_seg_expr_2.18
narrative_2,narr_seg_expr_2.19
narrative_2,narr_seg_expr_2.20
narrative_2,narr_seg_expr_2.21
narrative_2,narr_seg_expr_2.22
narrative_2,narr_seg_expr_2.23
narrative_2,narr_seg_expr_2.24
narrative_2,narr_seg_expr_2.25
narrative_2,narr_seg_expr_2.26
narrative_2,narr_seg_expr_2.27
narrative_2,narr_seg_expr_2.28
narrative_2,narr_seg_expr_2.29
narrative_2,narr_seg_expr_2.30
narrative_2,narr_seg_expr_2.31
narrative_2,narr_seg_expr_2.32
