ficto:NarrativeSegment,ficto:involves,ficto:hasNarrativeInstance,ficto:hasFormOfSpeech,cito:cites,prov:value
narr_seg_expr_1.1,sherlock_doyle1,narrator_1.1,direct-speech,name,"«Non conosce ancora Sherlock Holmes. Forse non le andrà a genio come compagno fisso». «Perché, cos’ha che non va?» «Oh, non ho detto che ci sia qualcosa che non va in lui. Solo che è un tantino stravagante. È un fanatico di alcuni settori della scienza. Comunque mi risulta che sia un tipo abbastanza a posto»"
narr_seg_expr_1.1,,,,psych_prof_1,
narr_seg_expr_1.1,,,,inter_1,
narr_seg_expr_1.2,sherlock_doyle1,narrator_1.1,direct-speech,knowledge_1,"«Credo che sia discretamente ferrato in anatomia, ed è un chimico coi fiocchi. […] I suoi studi sono caotici ed estemporanei. Ha accumulato un sacco di nozioni curiose che lascerebbero a bocca aperta i suoi professori»"
narr_seg_expr_1.2,,,,habit_2,
narr_seg_expr_1.2,,,,attitude_1,
narr_seg_expr_1.3,sherlock_doyle1,narrator_1.1,direct-speech,psych_prof_2,"«No, non è uno che si sbottona molto, anche se può essere abbastanza espansivo quando gli salta il ticchio»"
narr_seg_expr_1.3,,,,psych_prof_3,
narr_seg_expr_1.4,sherlock_doyle1,narrator_1.1,direct-speech,methodology,«Non è facile spiegare l’inspiegabile» […] «Holmes è un tantino troppo scienziato per i miei gusti… rasenta l’animale a sangue freddo. […] Pare che sia uno sfegatato paladino del sapere esatto e specifico»
narr_seg_expr_1.4,,,,principle,
narr_seg_expr_1.5,sherlock_doyle1,narrator_1.1,direct-speech,knowledge_2,"«Lei è un’enciclopedia ambulante del crimine, se non sempre irriverente», disse Stamford con una risata. «Potrebbe fondare una rivista sull’argomento, e chiamarla ‘Annali del delitto’». «E sarebbe una lettura molto interessante», ribatté Sherlock Holmes […]»"
narr_seg_expr_1.6,sherlock_doyle1,narrator_1.1,direct-speech,habit_1,«Spero non le dia fastidio l’odore del tabacco forte». […] «Perfetto. Di solito tengo in casa un po' di sostanze chimiche e ogni tanto faccio qualche piccolo esperimento. La disturba?» […] «Vediamo. Quali sono gli altri miei difetti? Talvolta vado soggetto a crisi di depressione e non apro bocca per giorni e giorni […]»
narr_seg_expr_1.6,,,,habit_2,
narr_seg_expr_1.6,,,,emo_state_1,
narr_seg_expr_1.7,sherlock_doyle1,narrator_1.1,direct-speech,expertise_1,"«A proposito, come diavolo faceva a sapere che vengo dall'Afghanistan?» domandai d'un tratto, fermandomi e girandomi verso Stamford. Il mio compagno fece un sorriso enigmatico. «È la sua piccola peculiarità. Non le dico quante sono le persone che vorrebbero sapere come fa a scoprire le cose»"
narr_seg_expr_1.8,sherlock_doyle1,narrator_1.1,narrated-speech,habit_3,"«Era un tipo tranquillo, dalle abitudini regolari»"
narr_seg_expr_1.9,sherlock_doyle1,narrator_1.1,narrated-speech,psych_prof_4,"«Non c’era sforzo superiore alle sue energie quando lo prendeva un accesso di attivismo, ma ogni tanto cadeva preda di una reazione contraria e rimaneva sdraiato per giorni di fila sul divano del salotto»"
narr_seg_expr_1.9,,,,psych_prof_5,
narr_seg_expr_1.10,sherlock_doyle1,narrator_1.1,narrated-speech,habit_4,«C’era quasi da sospettare che facesse uso di droghe se non ci fosse stata a smentirlo la sua vita sana e morigerata»
narr_seg_expr_1.10,,,,habit_3,
