ficto:Praxis,rdfs:label,skos:related,ficto:hasTextualTransmission,ficto:linkedTo
attitude_1,Chaotic and extemporaneous studies,attitude,http://vocab.getty.edu/page/aat/300015644,
attitude_2,Laziness,attitude,http://vocab.getty.edu/page/aat/300015644,
attitude_3,Dynamism,attitude,http://vocab.getty.edu/page/aat/300015644,
attitude_4,Nonchalant air,attitude,http://vocab.getty.edu/page/aat/300015644,
attitude_5,Fully absorbed,attitude,http://vocab.getty.edu/page/aat/300015644,
attitude_6,Detached expression,attitude,http://vocab.getty.edu/page/aat/300015644,
attitude_7,Professional expression,attitude,http://vocab.getty.edu/page/aat/300015644,
attitude_8,Mentally withdrawing,attitude,http://vocab.getty.edu/page/aat/300015644,
attitude_9,Meticulous cat-like care,attitude,http://vocab.getty.edu/page/aat/300015644,
attitude_10,Authoritative nature,attitude,http://vocab.getty.edu/page/aat/300015644,
attitude_11,It was not in his character to take a pointless vacation,attitude,http://vocab.getty.edu/page/aat/300015644,
attitude_12,Courage,attitude,http://vocab.getty.edu/page/aat/300015644,
attitude_13,Equanimity toward death,attitude,http://vocab.getty.edu/page/aat/300015644,
attitude_14,Étonner la galerie (to astonish the gallery),attitude,http://vocab.getty.edu/page/aat/300404309,
attitude_15,Darkening (of expression),attitude,http://vocab.getty.edu/page/aat/300404309,
attitude_16,Silent,attitude,http://vocab.getty.edu/page/aat/300404309,
attitude_17,Zeal,attitude,http://vocab.getty.edu/page/aat/300015644,
exp_habit_1,Satisfied exclamation,expression_habit,http://vocab.getty.edu/page/aat/300015644,
exp_habit_2,Hearty laugh,expression_habit,http://vocab.getty.edu/page/aat/300015644,
exp_habit_3,"Simple as it was, it had quite a few highly instructive points",expression_habit,http://vocab.getty.edu/page/aat/300015644,
exp_habit_4,Muttering a monologue,expression_habit,http://vocab.getty.edu/page/aat/300015644,
exp_habit_5,Series of exclamations,expression_habit,http://vocab.getty.edu/page/aat/300015644,
exp_habit_6,Grunts,expression_habit,http://vocab.getty.edu/page/aat/300015644,
exp_habit_7,Whistles,expression_habit,http://vocab.getty.edu/page/aat/300015644,
exp_habit_8,Shouts of joy,expression_habit,http://vocab.getty.edu/page/aat/300015644,
exp_habit_9,Shouts of encouragement,expression_habit,http://vocab.getty.edu/page/aat/300015644,
exp_habit_10,"Interesting, though elementary",expression_habit,http://vocab.getty.edu/page/aat/300015644,
exp_habit_11,Cold voice,expression_habit,http://vocab.getty.edu/page/aat/300015644,
exp_habit_12,Incisive voice,expression_habit,http://vocab.getty.edu/page/aat/300015644,
exp_habit_13,Ironic voice,expression_habit,http://vocab.getty.edu/page/aat/300015644,
exp_habit_14,"Elémentaire, mon cher Watson (Elementary, my dear Watson)",expression_habit,http://vocab.getty.edu/page/aat/300404309,detective_fiction
exp_habit_15,Voilà qui est intéressant (Now this is interesting),expression_habit,http://vocab.getty.edu/page/aat/300404309,
exp_habit_16,Imperious voice,expression_habit,http://vocab.getty.edu/page/aat/300404309,
exp_habit_17,"Elementare, mio caro Dupin (Elementary, my dear Dupin)",expression_habit,http://vocab.getty.edu/page/aat/300404309,detective_fiction
habit_1,Smoking,habit,http://vocab.getty.edu/page/aat/300015644,
habit_2,Chemical experiments,habit,http://vocab.getty.edu/page/aat/300015644,
habit_3,Regular habits,habit,http://vocab.getty.edu/page/aat/300015644,
habit_4,Drugs,habit,http://vocab.getty.edu/page/aat/300015644,
habit_5,Playing the violin,habit,http://vocab.getty.edu/page/aat/300015644,
habit_6,Sinking into an armchair,habit,http://vocab.getty.edu/page/aat/300015644,
habit_7,Waking up late,habit,http://vocab.getty.edu/page/aat/300015644,
kin_habit_1,Snorting,kinetic_habit,http://vocab.getty.edu/page/aat/300015644,
kin_habit_2,Smiling,kinetic_habit,http://vocab.getty.edu/page/aat/300015644,
kin_habit_3,Agile fingers,kinetic_habit,http://vocab.getty.edu/page/aat/300015644,
kin_habit_4,Eyes flashing,kinetic_habit,http://vocab.getty.edu/page/aat/300015644,
kin_habit_5,Pressing fingertips together,kinetic_habit,http://vocab.getty.edu/page/aat/300015644,
kin_habit_6,Slamming a fist on the table,kinetic_habit,http://vocab.getty.edu/page/aat/300404309,
kin_habit_7,With head bowed,kinetic_habit,http://vocab.getty.edu/page/aat/300015644,
mannerism_1,Gaze,gaze,http://vocab.getty.edu/page/aat/300015644,
mannerism_2,Lowering the eyelids,mannerism,http://vocab.getty.edu/page/aat/300015644,
mannerism_3,Chin sunk into the chest,mannerism,http://vocab.getty.edu/page/aat/300015644,
mannerism_4,Furrowed brows,mannerism,http://vocab.getty.edu/page/aat/300015644,
mannerism_5,Lips parted wide,mannerism,http://vocab.getty.edu/page/aat/300015644,
pers_style_1,Overcoat,personal_style,http://vocab.getty.edu/page/aat/300015644,
pers_style_2,Heavy coat,personal_style,http://vocab.getty.edu/page/aat/300015644,
pers_style_3,Scarf,personal_style,http://vocab.getty.edu/page/aat/300015644,
pers_style_4,Dressing gown,personal_style,http://vocab.getty.edu/page/aat/300015644,
pers_style_5,Tweed suit,personal_style,http://vocab.getty.edu/page/aat/300015644,
pers_style_6,Cloth cap,personal_style,http://vocab.getty.edu/page/aat/300015644,
pers_style_7,Pèlerine rouge (red cape),personal_style,http://vocab.getty.edu/page/aat/300404309,fairy_tales
pers_style_8,Une petite jupe (a little skirt),personal_style,http://vocab.getty.edu/page/aat/300404309,fairy_tales
pers_style_9,Cloak with wide folds,personal_style,http://vocab.getty.edu/page/aat/300404309,
pers_style_10,Singular cap,personal_style,http://vocab.getty.edu/page/aat/300015644,
