ficto:AnagraphicalStatus,rdfs:label,skos:related,ficto:hastextualTransmission,ficto:linkedto
full_name_1,Sherlock Holmes,full_name,http://vocab.getty.edu/page/aat/300015644,detective_fiction
feature_1,Altezza,physical_feature,http://vocab.getty.edu/page/aat/300015644,
feature_2,Peso,physical_feature,http://vocab.getty.edu/page/aat/300015644,
feature_3,Sguardo acuto e penetrante,physical_feature,http://vocab.getty.edu/page/aat/300015644,
feature_4,Naso affilato e aquilino,physical_feature,http://vocab.getty.edu/page/aat/300015644,
feature_5,Mento pronunciato e quadrato,physical_feature,http://vocab.getty.edu/page/aat/300015644,
feature_6,Mani chiazzate,physical_feature,http://vocab.getty.edu/page/aat/300015644,
occupation_1,Non ha studiato medicina,occupation,http://vocab.getty.edu/page/aat/300015644,
occupation_2,Non ha frequentato corsi universitari,occupation,http://vocab.getty.edu/page/aat/300015644,
occupation_3,Ufficio,occupation,http://vocab.getty.edu/page/aat/300015644,
occupation_4,Investigatore,occupation,http://vocab.getty.edu/page/aat/300015644,detective_fiction
occupation_4,Consulente delle indagini,occupation,http://vocab.getty.edu/page/aat/300015644,detective_fiction
feature_7,Occhi grigi,physical_feature,http://vocab.getty.edu/page/aat/300015644,
feature_8,Sagoma atletica,physical_feature,http://vocab.getty.edu/page/aat/300015644,
occupation_4,Specialista del crimine,occupation,http://vocab.getty.edu/page/aat/300015644,detective_fiction
feature_9,Viso pallido,physical_feature,http://vocab.getty.edu/page/aat/300015644,
feature_10,Viso sciupato,physical_feature,http://vocab.getty.edu/page/aat/300015644,
occupation_5,Carriera straordinaria,occupation,http://vocab.getty.edu/page/aat/300015644,
socioec_status_1,Origine sociale elevata,social_status,http://vocab.getty.edu/page/aat/300015644,
feature_1,Uomo alto,physical_feature,http://vocab.getty.edu/page/aat/300015644,
