ficto:Axiology,rdfs:label,skos:related,ficto:hasTextualTransmission,ficto:linkedTo
exist_outlook_1,Evitare dati inutili per quelli utili,existential_outlook,http://vocab.getty.edu/page/aat/300015644,detective_fiction
exist_outlook_2,Metodo analitico,existential_outlook,http://vocab.getty.edu/page/aat/300015644,detective_fiction
exist_outlook_3,Concezione dell'anima,existential_outlook,http://vocab.getty.edu/page/aat/300015644,
principle_1,Paladino del sapere esatto e scientifico,principle,http://vocab.getty.edu/page/aat/300015644,detective_fiction
belief_1,Scetticismo [verso il paranormale],belief,http://vocab.getty.edu/page/aat/300015644,
exist_outlook_4,Osservazione sul mondo,existential_outlook,http://vocab.getty.edu/page/aat/300015644,detective_fiction
exist_outlook_5,Vita ben spesa,existential_outlook,http://vocab.getty.edu/page/aat/300015644,
principle_2,Giustizia e integrità.,principle,http://vocab.getty.edu/page/aat/300015644,
world_inter_attitude_1,Pericolo quale parte del mestiere,worldview_interpersonal_attitude,http://vocab.getty.edu/page/aat/300015644,detective_fiction
world_inter_attitude_2,Penetrare nei misteri della natura,worldview_interpersonal_attitude,http://vocab.getty.edu/page/aat/300015644,detective_fiction
world_inter_attitude_3,Napoleone del crimine,worldview_interpersonal_attitude,http://vocab.getty.edu/page/aat/300015644,
exist_outlook_6,Réflexion sur les crimes ordinaires,existential_outlook,http://vocab.getty.edu/page/aat/300404309,detective_fiction
belief_2,Fantasmi,belief,http://vocab.getty.edu/page/aat/300404309,
belief_2,Allarmismo verso il paranormale,belief,http://vocab.getty.edu/page/aat/300404309,
belief_2,Spiritismo,belief,http://vocab.getty.edu/page/aat/300404309,
belief_2,Soprannaturali timori,belief,http://vocab.getty.edu/page/aat/300404309,
belief_3,Aldilà,belief,http://vocab.getty.edu/page/aat/300404309,
