ficto:CharacterAndPsychology,rdfs:label,skos:related,ficto:hasTextualTransmission,ficto:linkedTo
emo_state_1,Crisi di depressione,emotional_state,http://vocab.getty.edu/page/aat/300015644,
emo_state_2,Arrossire,emotional_state,http://vocab.getty.edu/page/aat/300015644,
psych_prof_1,Stravaganza,psychological_profile,http://vocab.getty.edu/page/aat/300015644,
psych_prof_2,Riservato,psychological_profile,http://vocab.getty.edu/page/aat/300015644,
psych_prof_2,Reticenza,psychological_profile,http://vocab.getty.edu/page/aat/300015644,
psych_prof_3,Espansivo,psychological_profile,http://vocab.getty.edu/page/aat/300015644,
psych_prof_4,Iperattività,psychological_profile,http://vocab.getty.edu/page/aat/300015644,
psych_prof_4,Crisi di iperattività,psychological_profile,http://vocab.getty.edu/page/aat/300015644,
psych_prof_5,Abulia,psychological_profile,http://vocab.getty.edu/page/aat/300015644,
self_perception_1,Arroganza,self_perception,http://vocab.getty.edu/page/aat/300015644,
self_perception_2,Sensibile sulle sue doti,self_perception,http://vocab.getty.edu/page/aat/300015644,
psych_prof_2,Restio a comunicare i suoi piani,psychological_profile,http://vocab.getty.edu/page/aat/300015644,
psych_prof_6,Languido sognatore,psychological_profile,http://vocab.getty.edu/page/aat/300015644,
psych_prof_7,Energico uomo d'azione,psychological_profile,http://vocab.getty.edu/page/aat/300015644,
psych_prof_8,Severo amico,psychological_profile,http://vocab.getty.edu/page/aat/300015644,
psych_prof_9,Controllato,psychological_profile,http://vocab.getty.edu/page/aat/300015644,
psych_prof_10,Padrone di sé,psychological_profile,http://vocab.getty.edu/page/aat/300015644,
psych_prof_11,Mente logica,psychological_profile,http://vocab.getty.edu/page/aat/300015644,detective_fiction
psych_prof_12,Mente razionale,psychological_profile,http://vocab.getty.edu/page/aat/300015644,detective_fiction
self_perception_3,Fama di detective,self_perception,http://vocab.getty.edu/page/aat/300015644,detective_fiction
self_perception_4,Investigatore coscienzioso,self_perception,http://vocab.getty.edu/page/aat/300015644,detective_fiction
emo_state_3,Tensione nevosa,emotional_state,http://vocab.getty.edu/page/aat/300015644,
emo_state_4,Massima tranquillità,emotional_state,http://vocab.getty.edu/page/aat/300015644,
psych_prof_14,Non sono un individuo nervoso,psychological_profile,http://vocab.getty.edu/page/aat/300015644,
psych_prof_15,Mente matematica fenomenale,psychological_profile,http://vocab.getty.edu/page/aat/300015644,
psych_prof_16,Nervi a prova di bomba,psychological_profile,http://vocab.getty.edu/page/aat/300015644,
self_perception_5,Abilità ingannatorie,self_perception,http://vocab.getty.edu/page/aat/300015644,detective_fiction
emo_state_1,Période de dépression,emotional_state,http://vocab.getty.edu/page/aat/300015644,
emo_state_5,Périodes d’ennui,emotional_state,http://vocab.getty.edu/page/aat/300404309,
emo_state_6,Hébétude apparente,emotional_state,http://vocab.getty.edu/page/aat/300404309,
emo_state_7,Prostration physique,emotional_state,http://vocab.getty.edu/page/aat/300404309,
emo_state_8,Prostration mentale,emotional_state,http://vocab.getty.edu/page/aat/300404309,
emo_state_9,Ému,emotional_state,http://vocab.getty.edu/page/aat/300404309,
emo_state_10,État de fébrilité,emotional_state,http://vocab.getty.edu/page/aat/300404309,
emo_state_11,Abbattement,emotional_state,http://vocab.getty.edu/page/aat/300404309,
psych_prof_17,Apathie,psychological_profile,http://vocab.getty.edu/page/aat/300404309,
psych_prof_18,Impassible mécanique intellectuelle,psychological_profile,http://vocab.getty.edu/page/aat/300404309,
psych_prof_19,Suffisance,psychological_profile,http://vocab.getty.edu/page/aat/300404309,
self_perception_6,Mieux voir que le commun des mortels,self_perception,http://vocab.getty.edu/page/aat/300404309,
emo_state_12,Seccato,emotional_state,http://vocab.getty.edu/page/aat/300404309,
emo_state_13,Pallido come un morto,emotional_state,http://vocab.getty.edu/page/aat/300404309,
psych_prof_20,Fantomatico,psychological_profile,http://vocab.getty.edu/page/aat/300404309,
psych_prof_21,Lugubre,psychological_profile,http://vocab.getty.edu/page/aat/300404309,
