skos:Concept,skos:prefLabel,owl:sameAs,skos:closeMatch
full_name,Name,https://www.wikidata.org/wiki/Q1071027,
occupation,Occupation,https://www.wikidata.org/wiki/Q12737077,
physical_feature,Physical feature,,http://vocab.getty.edu/page/aat/300435452
social_status,Social status,https://www.wikidata.org/wiki/Q189970,
emotional_state,Emotional state,,https://www.wikidata.org/wiki/Q4531715
psychological_profile,Psychological profile,https://www.wikidata.org/wiki/Q3491351,
self_perception,Self perception,https://www.wikidata.org/wiki/Q1860557,
existential_outlook,Existential outlook,,https://www.wikidata.org/wiki/Q468777
principle,Principle,,https://www.wikidata.org/wiki/Q48324
belief,Belief,https://www.wikidata.org/wiki/Q34394,
worldview_interpersonal_attitude,Worldview and interpersonal attitude,https://www.wikidata.org/wiki/Q49447,
attitude,Attitude,https://www.wikidata.org/wiki/Q622645,
expression_habit,Expression habit,,https://www.wikidata.org/wiki/Q1136816
habit,Habit,https://www.wikidata.org/wiki/Q1136816,
kinetic_habit,Kinetic habit,,https://www.wikidata.org/wiki/Q1136816
mannerism,Mannerism,https://www.wikidata.org/wiki/Q1890336,
personal_style,Personal style,,https://www.wikidata.org/wiki/Q11460
aspiration,Aspiration,,https://www.wikidata.org/wiki/Q55919789
expertise,Expertise,https://www.wikidata.org/wiki/Q644238,
interest,Interest,,https://www.wikidata.org/wiki/Q366791
knowledge,Knowledge,https://www.wikidata.org/wiki/Q9081,
skill,Skill,https://www.wikidata.org/wiki/Q12379081,
need,Need,https://www.wikidata.org/wiki/Q190258,
recurring_personal_object,Recurring personal object,,https://www.wikidata.org/wiki/Q111547449
symbolic_imagery,Symbolic imagery,,https://www.wikidata.org/wiki/Q80071
