ficto:Modality,rdfs:label,skos:related,ficto:hasTextualTransmission,ficto:linkedTo
aspiration_1,Zelo,aspiration,http://vocab.getty.edu/page/aat/300015644,
expertise_1,Scoprire le cose [perspicacia],expertise,http://vocab.getty.edu/page/aat/300015644,
expertise_1,Capacità di percezione,expertise,http://vocab.getty.edu/page/aat/300015644,detective_fiction
expertise_2,Capacità di osservazione,expertise,http://vocab.getty.edu/page/aat/300015644,detective_fiction
expertise_3,Capacità di deduzione,expertise,http://vocab.getty.edu/page/aat/300015644,detective_fiction
expertise_4,Deduzione astratta,expertise,http://vocab.getty.edu/page/aat/300015644,detective_fiction
inter_1,Fanatico della scienza,interest,http://vocab.getty.edu/page/aat/300015644,
knowledge_1,Anatomia,knowledge,http://vocab.getty.edu/page/aat/300015644,
knowledge_2,Enciclopedia vivente del crimine,knowledge,http://vocab.getty.edu/page/aat/300015644,detective_fiction
knowledge_2,Cronaca nera,knowledge,http://vocab.getty.edu/page/aat/300015644,detective_fiction
knowledge_3,Cultura vasta e dettagliata,knowledge,http://vocab.getty.edu/page/aat/300015644,
knowledge_3,Sapere notevole [in certi altri campi],knowledge,http://vocab.getty.edu/page/aat/300015644,
knowledge_4,Ignoranza notevole [in certi campi],knowledge,http://vocab.getty.edu/page/aat/300015644,
knowledge_5,Letteratura,knowledge,http://vocab.getty.edu/page/aat/300015644,
knowledge_6,Filosofia,knowledge,http://vocab.getty.edu/page/aat/300015644,
knowledge_7,Politica,knowledge,http://vocab.getty.edu/page/aat/300015644,
knowledge_8,Eliocentrismo,knowledge,http://vocab.getty.edu/page/aat/300015644,
knowledge_9,Astronomia,knowledge,http://vocab.getty.edu/page/aat/300015644,
knowledge_10,Botanica,knowledge,http://vocab.getty.edu/page/aat/300015644,
knowledge_11,Geologia,knowledge,http://vocab.getty.edu/page/aat/300015644,
knowledge_12,Chimica,knowledge,http://vocab.getty.edu/page/aat/300015644,
knowledge_13,Diritto britannico,knowledge,http://vocab.getty.edu/page/aat/300015644,
skill_1,Chimico provetto,skill,http://vocab.getty.edu/page/aat/300015644,
skill_2,Suonare il violino,skill,http://vocab.getty.edu/page/aat/300015644,
skill_3,Combattimento,skill,http://vocab.getty.edu/page/aat/300015644,
expertise_5,Mente rigorosamente pratica,expertise,http://vocab.getty.edu/page/aat/300015644,detective_fiction
expertise_6,Prudenza professionale,expertise,http://vocab.getty.edu/page/aat/300015644,
inter_2,Passato e presente,interest,http://vocab.getty.edu/page/aat/300015644,
knowledge_2,Conoscenza di criminologia,knowledge,http://vocab.getty.edu/page/aat/300015644,detective_fiction
need_1,Rimanere solo,need,http://vocab.getty.edu/page/aat/300015644,
expertise_7,Rapidità d'intelletto,expertise,http://vocab.getty.edu/page/aat/300015644,
knowledge_14,Educazione eccellente,knowledge,http://vocab.getty.edu/page/aat/300015644,
knowledge_15,Ambiente criminoso di Londra,knowledge,http://vocab.getty.edu/page/aat/300015644,detective_fiction
need_2,Pace,need,http://vocab.getty.edu/page/aat/300015644,
need_3,Tranquillità,need,http://vocab.getty.edu/page/aat/300015644,
skill_4,Doti singolari,skill,http://vocab.getty.edu/page/aat/300015644,
skill_5,Calligrafia chiara,skill,http://vocab.getty.edu/page/aat/300015644,
skill_5,Calligrafia ferma,skill,http://vocab.getty.edu/page/aat/300015644,
expertise_2,Lire sur l'aspect extérieur des gens,expertise,http://vocab.getty.edu/page/aat/300015644,detective_fiction
expertise_3,Déduire les pensées des autres,expertise,http://vocab.getty.edu/page/aat/300015644,detective_fiction
expertise_3,Capacité déductive,expertise,http://vocab.getty.edu/page/aat/300015644,detective_fiction
expertise_3,Facilités de déduction,expertise,http://vocab.getty.edu/page/aat/300015644,detective_fiction
expertise_1,Talent de détection,expertise,http://vocab.getty.edu/page/aat/300015644,detective_fiction
expertise_9,Noter le plus infime détail,expertise,http://vocab.getty.edu/page/aat/300015644,detective_fiction
need_4,Déplorer la disparition de James Moriarty,need,http://vocab.getty.edu/page/aat/300404309,detective_fiction
skill_1,Son Stradivarius,skill,http://vocab.getty.edu/page/aat/300015644,
expertise_3,Deduce facilmente dall'espressione,expertise,http://vocab.getty.edu/page/aat/300015644,detective_fiction
expertise_1,Istinto di indagatore,expertise,http://vocab.getty.edu/page/aat/300015644,detective_fiction
knowledge_5,La natura del gioco letterario,knowledge,http://vocab.getty.edu/page/aat/300015644,
