ficto:Praxis,rdfs:label,skos:related,ficto:hasTextualTransmission,ficto:linkedTo
attitude_1,Studi caotici ed estemporanei,attitude,http://vocab.getty.edu/page/aat/300015644,
attitude_2,Pigrizia,attitude,http://vocab.getty.edu/page/aat/300015644,
attitude_3,Dinamismo,attitude,http://vocab.getty.edu/page/aat/300015644,
attitude_4,Aria noncurante,attitude,http://vocab.getty.edu/page/aat/300015644,
attitude_5,Pienamente assorto,attitude,http://vocab.getty.edu/page/aat/300015644,
behaviour_1,Animale a sangue freddo,behaviour,http://vocab.getty.edu/page/aat/300015644,detective_fiction
exp_habit_1,Esclamazione soddisfatta,expression_habit,http://vocab.getty.edu/page/aat/300015644,
exp_habit_2,Grassa risata,expression_habit,http://vocab.getty.edu/page/aat/300015644,
exp_habit_3,"Per quanto semplice, aveva parecchi punti assai istruttivi",expression_habit,http://vocab.getty.edu/page/aat/300015644,
exp_habit_4,Monologare sottovoce,expression_habit,http://vocab.getty.edu/page/aat/300015644,
exp_habit_5,Fila di esclamazioni,expression_habit,http://vocab.getty.edu/page/aat/300015644,
exp_habit_6,Grugniti,expression_habit,http://vocab.getty.edu/page/aat/300015644,
exp_habit_7,Fischi,expression_habit,http://vocab.getty.edu/page/aat/300015644,
exp_habit_8,Gridolini di giubilo,expression_habit,http://vocab.getty.edu/page/aat/300015644,
exp_habit_9,Gridolini di incoraggiamento,expression_habit,http://vocab.getty.edu/page/aat/300015644,
habit_1,Tabacco forte,habit,http://vocab.getty.edu/page/aat/300015644,
habit_1,Fumare la pipa,habit,http://vocab.getty.edu/page/aat/300015644,
habit_2,Fare piccoli esperimenti,habit,http://vocab.getty.edu/page/aat/300015644,
habit_3,Abitudini regolari,habit,http://vocab.getty.edu/page/aat/300015644,
habit_4,Sembra fare uso di droghe,habit,http://vocab.getty.edu/page/aat/300015644,
habit_5,Vita sana e morigerata,habit,http://vocab.getty.edu/page/aat/300015644,
habit_6,Suonare il violino,habit,http://vocab.getty.edu/page/aat/300015644,
habit_6,Strimpellare il violino,habit,http://vocab.getty.edu/page/aat/300015644,
habit_7,Accasciarsi in poltrona,habit,http://vocab.getty.edu/page/aat/300015644,
kin_habit_1,Sbuffare,kinetic_habit,http://vocab.getty.edu/page/aat/300015644,
kin_habit_2,Sorridere,kinetic_habit,http://vocab.getty.edu/page/aat/300015644,
kin_habit_3,Dita agili,kinetic_habit,http://vocab.getty.edu/page/aat/300015644,
kin_habit_4,Occhi che mandavano lampi,kinetic_habit,http://vocab.getty.edu/page/aat/300015644,
mannerism_1,Abbassare le palpebre,mannerism,http://vocab.getty.edu/page/aat/300015644,
mannerism_2,Sguardo neutro,mannerism,http://vocab.getty.edu/page/aat/300015644,
mannerism_3,Sguardo spento,mannerism,http://vocab.getty.edu/page/aat/300015644,
mannerism_4,Sguardo assente,mannerism,http://vocab.getty.edu/page/aat/300015644,
mannerism_5,Mento affondato nel petto,mannerism,http://vocab.getty.edu/page/aat/300015644,
mannerism_6,Sopracciglia aggrottate,mannerism,http://vocab.getty.edu/page/aat/300015644,
pers_style_1,Soprabito,personal_style,http://vocab.getty.edu/page/aat/300015644,
pers_style_2,Cappottone,personal_style,http://vocab.getty.edu/page/aat/300015644,
pers_style_3,Sciarpa,personal_style,http://vocab.getty.edu/page/aat/300015644,
