ficto:Symbols,rdfs:label,skos:related,ficto:hasTextualTransmission,ficto:linkedto
recur_p_obj_1,Metro a nastro,recurring_personal_object,http://vocab.getty.edu/page/aat/300015644,detective_fiction
recur_p_obj_2,Lente d'ingrandimento,recurring_personal_object,http://vocab.getty.edu/page/aat/300015644,detective_fiction
symb_imag_1,Bracco di razza,symbolic_imagery,http://vocab.getty.edu/page/aat/300015644,
symb_imag_2,Segugio,symbolic_imagery,http://vocab.getty.edu/page/aat/300015644,
symb_imag_3,Allodola,symbolic_imagery,http://vocab.getty.edu/page/aat/300015644,
symb_imag_4,Cane da caccia,symbolic_imagery,http://vocab.getty.edu/page/aat/300015644,
recur_p_obj_3,Pipa di terracotta nera,recurring_personal_object,http://vocab.getty.edu/page/aat/300015644,
symb_imag_5,Generale,symbolic_imagery,http://vocab.getty.edu/page/aat/300015644,
recur_p_obj_4,Portasigarette d'argento,recurring_personal_object,http://vocab.getty.edu/page/aat/300015644,
recur_p_obj_1,Mètre pliant,recurring_personal_object,http://vocab.getty.edu/page/aat/300015644,
recur_p_obj_2,Loupe,recurring_personal_object,http://vocab.getty.edu/page/aat/300015644,detective_fiction
recur_p_obj_3,Pipe du matin,recurring_personal_object,http://vocab.getty.edu/page/aat/300015644,
recur_p_obj_3,Courte bouffarde,recurring_personal_object,http://vocab.getty.edu/page/aat/300015644,
recur_p_obj_5,Babouche persane,recurring_personal_object,http://vocab.getty.edu/page/aat/300015644,
symb_imag_1,Chien de chasse,symbolic_imagery,http://vocab.getty.edu/page/aat/300015644,
symb_imag_6,Diable d'homme,symbolic_imagery,http://vocab.getty.edu/page/aat/300404309,
symb_imag_7,Allures de félin,symbolic_imagery,http://vocab.getty.edu/page/aat/300404309,
recur_p_obj_2,Grossa lente,recurring_personal_object,http://vocab.getty.edu/page/aat/300015644,detective_fiction
recur_p_obj_2,Lente,recurring_personal_object,http://vocab.getty.edu/page/aat/300015644,detective_fiction
symb_imag_8,Esperto di cani fluorescenti,symbolic_imagery,http://vocab.getty.edu/page/aat/300404309,
